1	0	0	0	0
1	1	1	1	1
1	1.0717734625362931	1.148698354997035	1.2311444133449163	1.3195079107728942
1	1.1161231740339044	1.2457309396155174	1.3903891703159093	1.5518455739153598
1	1.148698354997035	1.3195079107728942	1.515716566510398	1.7411011265922482
1	1.174618943088019	1.379729661461215	1.6206565966927624	1.9036539387158786
1	1.1962311988513155	1.4309690811052556	1.711769859409705	2.0476725110792193
1	1.214814044039067	1.4757731615945522	1.792789962520997	2.17790642448278
1	1.2311444133449163	1.5157165665103982	1.8660659830736148	2.29739670999407
1	1.2457309396155174	1.5518455739153598	1.9331820449317627	2.4082246852806923
1	1.2589254117941673	1.5848931924611136	1.9952623149688795	2.51188643150958
